title,category,sub_category,tags,damage,reach,toughness,durability,flavor_text,rules_text,bulk,crafting_repair,uses,action_type
Smoke Bomb,Repertoire,Explosive,Lobbed,,,,,"A compact container with a short fuse, containing a compound which produces smoke quickly when heated.","You lob the smoke bomb at a space within (maxMOT * 5) feet. A moment later, it quickly begins spewing thick, acrid smoke in a burst 2 area, creating soft cover and immediately obscuring all characters and items within it, or by line of sight. The smoke lasts for 30 seconds, after which it begins to dissipate quickly.//While making a batch of this item, you can combine an equal number of doses of a Toxin with the Smoke tag to have this batch gain that toxin’s effects.",1,,2,Half Action
Flashbang,Repertoire,Explosive,Lobbed//Bright//Loud,,,,,A complex ordnance designed to disorient adversaries by overloading visual stimulus with a brilliant flash.,"You lob a flashbang at a space within (maxMOT * 5) feet, rolling [MOT + Tactile] against the [WIT + Reflexes] of each character in a burst 3 area. You and any allies you warn can close your eyes beforehand, and any foe who knows it is coming takes +3.//Hit: The target is blinded until the end of their next turn, then dazzled until the end of your next turn.//Near Miss: The target is dazzled until the end of their next turn.//Miss: The target is dazzled until the start of their next turn.",1,,2,Half Action
Incendiary Cocktail,Repertoire,Explosive,Lobbed//Bright,,,,,"A concoction of flammable reagents in a fragile container, designed to break on impact and burst instantly into flames.","You lob the cocktail at a target within (maxMOT * 5) feet, making a thrown attack roll against evasion.//Hit: The target catches on fire, immediately taking 1d4+1 fire damage and 1d4 fire damage at the start of each turn until they use a full action to put out the flames. Any flammable object struck quickly catches alight.//Miss: The vial breaks open 1d3 spaces behind the target.The reagents spill out in an ineffective way, creating a thin fire on the ground nearby which can still set unattended, flammable objects alight.",1,,2,Half Action
Caustic Cocktail,Repertoire,Explosive,Lobbed//Chemical,,,,,"A concoction of caustic reagents in a fragile container, designed to break on impact and dissolve materials.","You lob the cocktail at a target within (maxMOT * 5) feet, making a thrown attack roll against evasion.//Hit: The target is burned by acid, immediately taking 2d4 chemical damage. It has -2 toughness, and any worn or carried items with durability lose 2 durability.//Miss: The vial breaks open 1d3 spaces behind the target.",1,,2,Half Action
Grenade,Repertoire,Explosive,Lobbed//Loud,,,,,"A concoction of caustic reagents in a fragile container, designed to break on impact and dissolve materials.","You lob the grenade at a space within (maxMOT * 5) feet, rolling [MOT + Combat] against the evasion of each target in a burst 3 area of the grenade.//Critical Hit: As a hit, but add +2d4 to the damage.//Hit: The target takes 4d4+2 damage if they are within burst 1, or 2d4+2 otherwise.//Miss: The target takes 2d4+1 damage if they are within burst 1, or 1d4+1 otherwise.",1,,2,Half Action
Tactical Firecrackers,Repertoire,Explosive,Lobbed//Loud//Bright,,,,,"Blackpowder cased in paper tubes, strung from a length of rope for easy dispersal and throwing. Pulling sharply on the rope causes the firecrackers to scatter, covering a wide area with sound and light.","(You can take 1d3 stress to instead take this half action as a reaction with a trigger of ""Trigger: an enemy you can see attacks you or an ally. You act before they roll."")//You light the fuse and pull sharply on the rope to scatter the firecrackers around you. Choose 3 adjacent spaces within 10 feet of you, then make a standard [MOT + Tactile] roll.//Hit: Until the end of your next turn, anyone in or entering in those spaces is dazzled until the end of their turn. The smoke from the firecrackers provides soft cover until then./Miss: Any targets in those spaces are dazzled until the end of their turn.",1,,2,Half Action
Chokedust,Repertoire,Toxin,Powder//Smoke,,,,,"A rust-colored powder, kept loose or packed into thumb-sized pellets. Produces a disorienting effect which makes victims feel as if they’re not getting enough air.","Using a poisoner’s kit, you blow the toxin into the face of an adjacent target. Alternatively, you dash it into an open flame or boiling water, transferring the toxic effects to the smoke or steam.//After inhaling the toxin, the target begins to feel as if they can’t get enough oxygen. They take -1 to all rolls until the end of the scene. If infused into smoke or steam, the target takes an additional -1 each time they end their turn in the fumes. Anyone starting their turn in the fumes is dazzled until the end of the turn",0.5,,2,Half Action
Gripgut,Repertoire,Toxin,Powder//Ingested,,,,,A sweet-smelling brown powder which dissolves easily into food or drink. Causes severe nausea and cramping when ingested.,"You sprinkle the toxin into food or drink, with 1 use being enough for 1 person. A minute after fully ingesting the dose, the target begins to feel ill and experiences horrific cramping for the next 24 hours.//While experiencing symptoms, they take 1 disadvantage on any rolls using their Physique or Resolve dice.",0.5,,3,Free Play
Loose Lips,Repertoire,Toxin,Liquid//Ingested,,,,,"A clear serum which sparkles in direct light, derived from a mixture of fungus and amphibian secretions. Sometimes taken recreationally, it induces a subtle but effective brain fog.","You proffer the liquid on its own or mixed into a cool drink. Ten minutes after ingesting a dose, the target begins to experience a brain fog which makes critical thinking difficult, and may also experience mild sensory hallucinations for the next hour.//While under the influence, the target takes -3 to all rolls using their Reason, Social Skills, and Wits dice. Afterwards, they recall feeling strange, but won’t realize they’ve been drugged unless familiar with the toxin.",0.5,,2,Free Play
Nightmare,Repertoire,Toxin,Liquid//Laced,,,,,"A syrupy, crimson liquid derived from the hallucinogenic oils of certain fungi. When stuck to an open wound, it wracks the afflicted with unsettling visions and crawling sensations.","You lace a lacerating weapon or ammunition with the toxin (lasts until end of scene). When infused into blood, the victim begins to experience subtle and disturbing hallucinations. Until the end of the scene, the target becomes terrified of everyone. If they are cornered or engaged in combat, they panic and lash out, using their first action each turn to attack the nearest character however they can.",0.5,,1,Half Action
Palerot,Repertoire,Toxin,Paste//Topical,,,,,"A toxin resembling a milky white paint, derived from paralytic animal toxins. It’s slow to act and easy to wipe off, so direct application is impractical. Usually applied in a thin layer over a surface with a painter’s brush.","You take five minutes to thoroughly apply a dose to an item or surface. It remains tainted for the next 24 hours, and can stick to the skin of up to two victims.//Five minutes after direct contact with the tainted surface, the afflicted skin begins to turn patchy white, becoming unbearably itchy and peeling off in sheets. A moment later, they fall prone and roll [FYS + Resolve]. They are paralyzed for X hours, where X is 24 - the result of their reaction roll.",0.5,,1,Free Play
