title,rules_text,options,option_for,owned_by
Adventurous Leader,"You are an expert at maneuvering your team in the field. Whenever you roll to run, jump, climb, swim, or otherwise perform physical feats, take +1 minor advantage on the roll. If you and at least one other player are rolling as a team, you can grant any bonuses you have on that roll to another player as well.",,Muscle,Role
Ever Vigilant,"You have a keen sense for danger, one hand always near the handle of your weapon, one eye always out for danger. You can always find good ground for an ambush, identifying good hiding spots and vantage points. Additionally, you take +1 minor advantage on rolls made to keep watch or spot danger, and  you cannot be caught Off Guard by ambush or surprise.",,Muscle,Role
Grim Bearing,"You can always use your Physique die in place of your Social Skills die when trying to coerce or intimidate. Additionally, you can back up an ally's threats with your intimidating size. Whenever an ally tries to coerce or intimidate a target, you can take 2 stress to roll dFYS when they roll. Your ally can choose to substitute the result on their Trait die for your result.",,Muscle,Role
Keen Observer,"Whenever you roll to investigate a scene, spot small details, or to track something or someone, take +1 minor advantage on the roll. If you Assist an ally on such an action, you take the minor advantage on the assist roll, and they take it on their roll as well.",,Muscle,Role
Long Marcher,"You’re used to traveling over long distances with little rest. Once per session, you can shrug off an instance of Stress or Fatigue you get from travel or bad weather. Additionally, your carry capacity increases by +2 bulk.",,Muscle,Role
Tactician,"Whenever you take the Assist action, you can always do so by making a verbal command to inspire or motivate them, and you can take 1 stress to do so as a half action. The first time an ally rolls a hit with your assistance each scene, you relieve 1 stress.",,Muscle,Role
Unflinching Resolve,"Reduce the stress you take from pushing any roll using your Resolve die by 1 for each level you push it. On a miss, relieve 1 stress.",,Muscle,Role
Veteran Mein,"Take +1 advantage on your first roll each scene made to interact with a soldier, guard, or other martial figure. Once per session, if you roll a hit, you can relieve stress equal to half the advantage bonus.",,Muscle,Role
Citizen of the World,"You’re comfortable wherever you go, fitting in, making friends, or at the very least, appearing to. The first time you try to get information by talking to people in a new place, take +1 minor advantage on that roll.//Additionally, walking around counts as light activity for a Short Rest for you. After you’ve spent at least a few hours wandering in a new settlement (8 hours for larger settlements such as cities,) you know the place as well as if you had lived there (you know all public locations and cannot become lost by normal means.)",,Face,Role
Costumer,"You take +1 to your proficiency in Clothier’s Tools and in Makeup Kits. Additionally, you know how to fashion yourself a convincing disguise of anyone (GM decides crafting target and clock depending on the disguise, default T9/C4.) While wearing your disguise, you take +1 minor advantage on any roll made to persuade or deceive others into accepting your guise. You can  also change in and out of this disguise quickly, taking only 2 minutes to change between your disguise and another outfit.",,Face,Role
I Know a Guy,"After you spend at least 2 hours exploring a location or asking around, you always know where to find a place to sell or trade for whatever you need, if such a place exists in that location. Additionally, take +1 advantage on your first roll made to haggle each scene.",,Face,Role
Interrogator,"You take +1 minor advantage on any roll made to discern if someone is lying, hiding the truth, or hiding something on their person. If the target of that roll is your Mark, take an additional +1. ",,Face,Role
I've Got Just the Place,"You take +1 minor advantage on rolls made to investigate a scene. Additionally, you can always find a perfect stash for something. If you’ve been to a place before, you can access a stash containing anything you need worth less than 1 wealth, explaining to the GM why you hid it there last time you came through.",,Face,Role
Sticky Fingers,"You take +1 minor advantage to any roll made to palm, steal, or conceal items. If you are rolling against your Mark, take an additional +1.",,Face,Role
Show on the Road,"You’re the sort who never settles down, always headed from one place to another in search of friends, clients, and suckers. You take +1 minor advantage on any roll to resist effects of weather or the hardships of travel. Additionally, your confidence and entertaining company make life on the road just a bit easier. You and anyone else traveling with you reduce any Stress taken from hardship on the road by 1.",,Face,Role
Walk it Back,"You take +1 minor advantage on your first roll made to lie, conceal, or distort the truth each scene. Additionally, after seeing the result of an ally’s roll to do the same, before the GM reveals the outcome of the check, you can take 1d3 stress and make a [SOC + Convincing or Subtle] roll to add or alter a detail of the lie, substituting your result for theirs",,Face,Role
Canny Naturalist,"Your time spent in the wilderness has made you intimately acquainted with her flora and fauna. Take +1 advantage on any roll made to identify or recall information about features of your natural environment, such as identifying a plant  or a set of tracks. You also take this advantage when using or practicing medicine.",,Hunter,Role
Spring-Heeled,"You move with acrobatic grace, and your most impressive stunts leave onlookers stunned and amazed. Whenever you roll to jump or climb, you can use your MOT die in place of your FYS die. Additionally, if you dash before taking such an action, take +1 minor advantage on the roll.",,Hunter,Role
Nimble,"Your speed is increased by 5 feet. Additionally, whenever you push a roll made to get from one place to another, you can choose one of the following:",You don’t touch the ground.//You don’t make a sound.//No one can touch you as you move.,Hunter,Role
Legerdemain,"You’re a master of swiping and pickpocketing. Take +1 minor advantage on any roll made to steal, conceal, or palm something.",,Hunter,Role
Terrain Specialist,"Your expertise in traversing certain kinds of terrain makes you invaluable as a guide and a leader. Choose Desert, Forest, Mountains, Plains, Tundra, Coast, Ocean, or Urban Decay. While you are in the chosen environment, you take +1 advantage on any roll made to travel, forage, scavenge, track, or sneak. You can choose this knack multiple times, choosing a new environment each time.",,Hunter,Role
Watchdog,"Out in the wilds, where safety is never a given thing, it always pays to have someone keep an eye out while the others rest. While taking a long rest, you can remain awake and alert for up to 4 hours and still have it count as sleep. For each two hours you stayed awake this way, take 1 stress.",,Hunter,Role
Scout Leader,"You are an expert at maneuvering your team in  reconnaissance missions, and your expertise inspires your teammates to follow your lead. Take +1 minor advantage on any roll made to sneak or hide. If you and at least one other player are rolling as a team for such a roll, you can grant whatever advantage bonus you have on that roll to another player as well.",,Hunter,Role
Trapper,"You can take ten minutes to set up a trap of your devising, specifying an area of effect, a trigger, and using any items or materials as necessary. Make a [MOT + Tactile] roll as you complete the trap and take note of the result. That is the result to beat to spot the hidden trap, and when the trap is triggered, if it involves damage (such as an explosive), use that result instead of making an attack roll.",,Hunter,Role
Appeal to Logos,"You apply your expertise with words and rhetoric to manipulate others. Whenever a roll calls for you to use your Social Skills die, you can burn 2 will to use your Reason die instead.",,Chemist,Role
Arms Dealer,"Your proficiency with Smith’s Tools is doubled. Additionally, your combat die improves by 1 level.",,Chemist,Role
Expansive Learner,"You learn from your allies, drawing on their experience and using it as inspiration for new ideas. Whenever you could learn a new skill or knack, you can choose to instead take a skill or knack from another player’s role list. You can’t have more than one feature from each role this way.",,Chemist,Role
Expedition Leader,"Through a mix of travel and study, you’ve learned to read the landscape for signs which can accommodate your expeditions. Whenever you roll to scan track, forage, scavenge, or identify something in nature, take +1 minor advantage on the roll. If you assist an ally with such a roll, they gain this effect as well.",,Chemist,Role
Forgery Expert,"Choose Scrivener’s Tools or Artist’s Tools. Your proficiency in that toolset is doubled. Additionally, you take +1 advantage on any roll made to make a copy of something.",,Chemist,Role
Field Researcher,"You take +1 minor advantage on the first action roll using your Studious aspect die each scene. Additionally, the first time you use this bonus to learn about a new area or local feature, you get an inspiration die  (free action: take +1 and 1 minor advantage on your current roll.) It lasts until the end of your next Long Rest, and disappears if unused.",,Chemist,Role
Kinesthetic Learner,"You take +1 minor advantage on the first check you make using your Athletic die each scene. Additionally, whenever you make an Athletic check to perform an action you just saw someone perform successfully, take +1 minor advantage on that check (these effects can stack.)",,Chemist,Role
