title,flavor_text,passive,trigger
Blinded Eye,"It had been an accident. Just a moment of lapsed concentration, and the blade has raked his skin from cheek to hairline. Just a moment, followed by a lifetime of half-darkness.","One of your eyes is either missing or blind. You can cover or replace it however you like, but it is obvious by anything more than a passing glance that it is nonfunctional.","Whenever you are in a situation where your blinded eye would hinder you, such as trying to spot something in the distance, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Bluntness,"Frank counsel is one of the most valuable assets a leader could have, and yet, it seems that no one you interact with appreciates your concise wisdom.","You have difficulty expressing thoughts and feelings with nuance, and struggle to pick up the subtleties of others unless someone points it out to you.","Whenever you are in a situation where your lack of nuance or your inability to detect it would hinder you, such as attempting to sell a convincing lie, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Chronic Illness/Pain,"Mona had only been a child when it had started, and so she had simply thought for some time that this was how life was for everyone. The fevers came and went, but the air always seemed to feel thin in her lungs. Though she inevitably grew to be happy and prosperous, she never knew a day without the company of pain.","You have some form of chronic pain or illness, the symptoms and causes of which you can develop with your GM. These can be as visible or invisible as you deem fit.","Whenever you are in a situation where your affliction would hinder you, such as performing strenuous physical activity, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Clumsiness,"Hara Keen-Eye was famed among her fellow sellswords for her aim and skill with a greatbow, able to split a target from near a hundred yards. Yet somehow, in the mess hall, she could scarcely go a night without spilling her stew.","You struggle with tasks which require coordinated motor skills. The GM may periodically have you stumble, slip, or drop items at their discretion, allowing you to take 1 stress to resist the slip up.","Whenever you are in a situation where your clumsiness would hinder you, such as working with small parts, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Disfigured Appearance,"The eye is naturally drawn to the face, searching for telltales of emotions in the eyes and lips. When what it finds is unfamiliar -- scarred or disfigured -- even the best intentioned onlookers struggle not to stare.","Your face has been disfigured by some means. There is no damage to your senses or organs, but your appearance might be unsettling to others who do not know you.","Whenever you are in a situation where your disfigurement would hinder you, such as introducing yourself to an unsettled stranger, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Hard of Hearing,Leo had come out of the blast seemingly unscathed -- a miracle given the chemister’s charred remains -- but the ringing he heard in its wake never truly left his ears.,"Your hearing is impaired, perhaps by injury, natural causes, or an audio processing disorder. You can still hear most things, but subtle or distant sounds prove difficult to discern.","Whenever you are in a situation where your poor hearing would hinder you, such as eavesdropping on a conversation, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Impropriety,"Shyla always knew she came across brusk. It was hard to miss all the glares given her way by merchants, not to mention parents with children in attendance, but she hardly saw how it was her fault. If only they weren’t so sensitive, they would see that she was very reasonable.","You are incapable of good manners, and even pretending at them comes across as sarcastic to those of better standing unless you roll for it.","Whenever you are in a situation where your lack of manners would hinder you, such as attempting to persuade someone of higher standing, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Inattentive,"Roger had always been the pick for hunting duty, his attention flitting from detail to detail with all the wariness of the deer he made his quarry. There, he showed great promise, but in the marketplace, he could scarcely hold an intelligible conversation without trailing off down endless tangents.","You have great trouble focusing on tasks, especially for extended periods of time. In conversations, you have noticeable difficulty paying attention if you are not invested in the subject matter, which may lead some to take offense.","Whenever you are in a situation where your easy distraction would hinder you, such as taking watch or studying, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Injured Back,"The post-calamity warlord, Jen Grim-Brow, once dominated the roads and lands within a hundred miles of Old Providence. Her fall from power came quite literally in a fall from her saddle, forced to conquer from the seat of a cart instead.","Your back has some form of skeletal or muscular damage or deformity. It can be a visible or invisible disability, but excessive physical use or interaction will cause discomfort and pain. When you stand up from prone, you must either use a Full Action to do so.","Whenever you are in a situation where your injured back would hinder you, such as climbing or swinging a weapon, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
Injured/Missing Leg,"Johnny had felt a sharp pain when the plow was pulled over his leg, then nothing at all as he looked down at the mangled thing. The surgeon had given him a brace and a crutch to lean on, and that was that. He went back to work.","One of your legs is either missing or injured, and you use a prosthetic, cane, or crutches to get around. Your speed is reduced by 5 feet, and standing from prone takes a full action.","Whenever you are in a situation where your missing or injured leg would hinder you, climbing or running, you or the GM may invoke this misfortune to have you take 1 disadvantage on the roll."
