title,action_type,focus,trigger,rules_text,options,starting,option_for
Parry,Reaction,,A character you can see makes an attack against you. Requries a melee weapon or a shield.,"You use your weapon or shield to deflect an attack. Take 2 stress, then roll [FYS + Grit + 1] for this evasion save. On a Hit, you can take another reaction this round. On a Critical Hit, if the attack was a melee attack, the attacker takes 1 level of stagger.",,TRUE,Muscle
Cut Them Down,Passive,,,"After making a successful attack roll against a target, you can take 5 stress to roll [FYS + Combat] against that target’s remaining health. On a hit, you slay that target (they lose all remaining health and vitality, and die instantly).//If you slay more than one target this way in a single day, roll [WIT + Resolve] against a target of 9. On a miss, you take ( 20 - maxWIT ) stress.",,TRUE,Muscle
Break Some Shit,Full Action,,,"Take 1d4 stress, then dramatically smash something within reach, either breaking it yourself or using it as an improvised weapon for an attack roll. After any rolls associated with the breaking, roll [FYS + Expressive] against the [WIT + Resolve] of each target within burst 6 who can see and hear you.//Critical Hit: that target is Terrified of you.//Hit: that target is Afraid of you.//Near Miss: that target takes -1 on roll made to attack you until the end of their next turn.",,,Muscle
Deadly Draw,Half Action,,,"In an instant, your weapon is out and striking for your target. Take 2 Stress, then draw a weapon and make an attack with it. If this is the first time drawing that weapon this scene, take +2 to the attack and damage rolls.",,,Muscle
Excellence in Battle,Passive,,,"Whenever you roll a critical hit on an attack roll, relieve 1d4 stress. If that attack reduced the target to 0 health, roll 2d4 and relieve stress equal to the highest number rolled this way instead.",,,Muscle
Explosive Strength,Passive,,,"You lean into your swing, delivering a crushing blow. After seeing the result of the damage dice for this attack, you can reroll any number of them, taking 1 stress for each die rerolled this way. You must take the new result.//After all rerolls, if you rolled the maximum number on a damage die, you can take 1 stress to roll another of that kind. This effect can theoretically go on forever.",,,Muscle
Greatbow Doyen,Passive,,,"Whenever you roll for an attack with a longbow, you can take 1 stress to roll FYS instead of MOT. When you do so, that attack deals +1 damage, and on a critical hit, if the target is your size or smaller, they are pushed back 5 feet and knocked prone.",,,Muscle
Hurly Burly,Passive,,,"You count as one size larger for the purpose of grappling and shoving. Additionally, whenever you make a successful attack roll with an unarmed strike, you can take 2 stress to immediately take either the Grapple or Shove action as a free action. If they were shoved, double the distance they move.",,,Muscle
Imposing Command,Full Action,,,"You leverage your strength and size to influence another. Take 1d4 or 2d4 stress, then give a non-suicidal command to someone who understands you. Depending on the scenario, roll [SOC + Expressive or Convincing] against the target’s [WIT + Resolve]. On a hit, they must act upon your command.//If you took at least 4 stress to use this skill, your roll is automatically a hit.",,,Muscle
Riposte,Reaction,,you successfully evade a target’s melee attack.,"You take advantage of a foe’s blunder to strike while they’re open. Take 3 stress, then make a melee attack against the triggering character and take +1 on the attack and damage rolls. If you used your Parry skill for the evasion roll, you take 1d3 stress instead.",,,Muscle
